word,sense,dominance,context_level,sentence
yard,outdoor_area,dominant,1,yard
yard,outdoor_area,dominant,2,The kids are playing in the yard.
yard,outdoor_area,dominant,2,Her yard is full of flowers.
yard,outdoor_area,dominant,2,He mowed the yard yesterday.
yard,outdoor_area,dominant,2,We built a fence around the yard.
yard,outdoor_area,dominant,3,Every Saturday morning my father spends hours raking leaves in the yard behind our house.
yard,outdoor_area,dominant,3,The new homeowners spent the whole weekend clearing debris from the overgrown yard.
yard,outdoor_area,dominant,3,Children from the neighborhood often gather in her yard to play after school.
yard,outdoor_area,dominant,3,The dog barked loudly at every squirrel that dared to enter the yard.
yard,length_unit,subordinate,1,yard
yard,length_unit,subordinate,2,The quarterback threw a 40-yard pass.
yard,length_unit,subordinate,2,The store is just a few yards away.
yard,length_unit,subordinate,2,He gained ten yards on that play.
yard,length_unit,subordinate,2,The fabric costs five dollars per yard.
yard,length_unit,subordinate,3,The running back broke free and sprinted nearly sixty yards before being tackled near the goal line.
yard,length_unit,subordinate,3,The tailor carefully measured out three yards of silk for the wedding dress.
yard,length_unit,subordinate,3,The construction crew had to extend the pipeline another two hundred yards to reach the site.
yard,length_unit,subordinate,3,During the final quarter the team needed just ten more yards to secure a first down.
tank,container,dominant,1,tank
tank,container,dominant,2,I need to fill the tank with gas.
tank,container,dominant,2,The fish tank needs cleaning.
tank,container,dominant,2,She checked the water tank for leaks.
tank,container,dominant,2,The tank was almost empty.
tank,container,dominant,3,Before the long road trip he made sure to fill the tank completely at the gas station.
tank,container,dominant,3,The aquarium's largest tank houses several colorful tropical fish species.
tank,container,dominant,3,Workers inspected the water tank on the roof after residents complained about low pressure.
tank,container,dominant,3,The brewery uses large steel tanks to ferment its beer for several weeks.
tank,military_vehicle,subordinate,1,tank
tank,military_vehicle,subordinate,2,The tank rolled through the city streets.
tank,military_vehicle,subordinate,2,Soldiers climbed out of the tank.
tank,military_vehicle,subordinate,2,The tank fired at the enemy position.
tank,military_vehicle,subordinate,2,A tank was stationed near the border.
tank,military_vehicle,subordinate,3,During the parade an old military tank rumbled slowly down the main avenue as crowds watched.
tank,military_vehicle,subordinate,3,The museum's new exhibit features a restored tank used during the Second World War.
tank,military_vehicle,subordinate,3,Reports indicated that several tanks had advanced toward the eastern front overnight.
tank,military_vehicle,subordinate,3,The general ordered the tank division to hold its position until reinforcements arrived.
staple,routine_item,dominant,1,staple
staple,routine_item,dominant,2,Rice is a staple in many households.
staple,routine_item,dominant,2,This dish has become a staple of the menu.
staple,routine_item,dominant,2,Denim jeans are a staple in her wardrobe.
staple,routine_item,dominant,2,Bread is a staple food here.
staple,routine_item,dominant,3,For generations rice has remained a staple in nearly every household across the region.
staple,routine_item,dominant,3,The chef explained that pasta has become a staple of the restaurant's seasonal menu.
staple,routine_item,dominant,3,According to the stylist a well-fitted blazer is a staple that never goes out of fashion.
staple,routine_item,dominant,3,Potatoes have long served as a staple crop for farming communities in colder climates.
staple,wire_fastener,subordinate,1,staple
staple,wire_fastener,subordinate,2,He used a staple to hold the papers together.
staple,wire_fastener,subordinate,2,The staple fell out of the folder.
staple,wire_fastener,subordinate,2,She removed the staple carefully.
staple,wire_fastener,subordinate,2,A single staple wasn't enough to bind it.
staple,wire_fastener,subordinate,3,Before submitting the report she made sure every page was secured with a single staple in the corner.
staple,wire_fastener,subordinate,3,The stapler jammed halfway through leaving a bent staple stuck in the mechanism.
staple,wire_fastener,subordinate,3,He carefully pulled out each staple from the old newspaper clippings before scanning them.
staple,wire_fastener,subordinate,3,The office assistant replaced the staple in the printed handout after it came loose.
chest,body_part,dominant,1,chest
chest,body_part,dominant,2,He complained of chest pain.
chest,body_part,dominant,2,The doctor listened to her chest.
chest,body_part,dominant,2,She felt tightness in her chest.
chest,body_part,dominant,2,The X-ray showed his chest clearly.
chest,body_part,dominant,3,After the accident the paramedics immediately checked his chest for any signs of internal injury.
chest,body_part,dominant,3,The cardiologist placed the stethoscope against her chest to listen for irregular heartbeats.
chest,body_part,dominant,3,He woke up in the middle of the night with a sharp pain radiating across his chest.
chest,body_part,dominant,3,The radiologist reviewed the scan and noted a small shadow near the base of his chest.
chest,storage_box,subordinate,1,chest
chest,storage_box,subordinate,2,They found an old chest in the attic.
chest,storage_box,subordinate,2,The pirates buried the chest on the island.
chest,storage_box,subordinate,2,She kept her jewelry in a wooden chest.
chest,storage_box,subordinate,2,The chest was locked with a rusty key.
chest,storage_box,subordinate,3,While cleaning out the attic they discovered a dust-covered chest filled with old letters and photographs.
chest,storage_box,subordinate,3,According to the legend the pirates buried a heavy wooden chest somewhere along the rocky coastline.
chest,storage_box,subordinate,3,Her grandmother had passed down an ornate chest that held decades of family heirlooms.
chest,storage_box,subordinate,3,The movers struggled to carry the enormous chest down the narrow staircase.
trunk,tree_trunk,dominant,1,trunk
trunk,tree_trunk,dominant,2,The trunk of the tree was thick.
trunk,tree_trunk,dominant,2,Lightning split the trunk in half.
trunk,tree_trunk,dominant,2,He carved his initials into the trunk.
trunk,tree_trunk,dominant,2,Moss covered the old trunk.
trunk,tree_trunk,dominant,3,After the storm passed the fallen oak's massive trunk blocked the entire hiking trail.
trunk,tree_trunk,dominant,3,The children loved climbing the wide low trunk of the ancient willow near the pond.
trunk,tree_trunk,dominant,3,Botanists estimated the tree's age by counting the rings visible in its cut trunk.
trunk,tree_trunk,dominant,3,Woodpeckers had drilled dozens of small holes into the trunk over the years.
trunk,car_compartment,subordinate,1,trunk
trunk,car_compartment,subordinate,2,He put the bags in the trunk.
trunk,car_compartment,subordinate,2,The trunk of the car was full.
trunk,car_compartment,subordinate,2,She opened the trunk to get her bag.
trunk,car_compartment,subordinate,2,The spare tire is in the trunk.
trunk,car_compartment,subordinate,3,He struggled to fit the oversized suitcase into the trunk before finally rearranging the golf clubs.
trunk,car_compartment,subordinate,3,She popped the trunk open to grab the spare tire after noticing the flat on the highway.
